一级分类,二级分类,三级分类,说明
活体禽兽,飞禽,无,相国寺大三门活体交易
活体禽兽,走兽,猫,相国寺大三门活体交易
活体禽兽,走兽,犬,相国寺大三门活体交易
活体禽兽,珍禽,无,相国寺大三门活体交易
活体禽兽,奇兽,无,相国寺大三门活体交易
家居陈设,铺陈,铺合,相国寺第二三门交易
家居陈设,席具,簟席,相国寺第二三门交易
家居陈设,帷幕,屏帏,相国寺第二三门交易
日用器物,杂物,什物,相国寺第二三门交易
日用器物,洗漱用品,洗漱,相国寺第二三门交易
日用器物,漆器,漆器,御街铺售
日用器物,燃料,炭,御街铺售
武备骑具,骑具,鞍辔,相国寺第二三门交易
武备骑具,兵器,弓剑,相国寺第二三门交易
食品饮食,果品,时果,相国寺第二三门交易
食品饮食,果品,花果,御街铺售
食品饮食,腊味,腊脯,相国寺第二三门交易
食品饮食,蜜煎,蜜煎,相国寺近佛殿交易
食品饮食,茶饮,素茶,寺东门街巷铺售
食品饮食,茶饮,分茶,御街铺售
食品饮食,酒,酒,御街铺售
食品饮食,酒,银瓶酒,曲院街正店
食品饮食,酒,羊羔酒,曲院街正店
食品饮食,面食,包子,御街铺售
食品饮食,面食,梅花包子,御街铺售
食品饮食,面食,肉饼,御街铺售
食品饮食,面食,馒头,相国寺大街铺售
食品饮食,汤羹,瓠羹,相国寺大街铺售
食品饮食,药食,黄耆圆,相国寺大街铺售
食品饮食,餐食,南食,寺东门街巷铺售
食品饮食,腌菜,糟姜,寺东门街巷铺售
食品饮食,肉食,热羊肉,御街铺售
食品饮食,肉食,羊饭,御街铺售
食品饮食,夜市饭食,水饭,州桥夜市
食品饮食,夜市肉食,爊肉,州桥夜市
食品饮食,夜市肉食,干脯,州桥夜市
食品饮食,夜市肉食,肉脯,州桥夜市
食品饮食,夜市肉食,鳝鱼包子,州桥夜市
食品饮食,夜市肉食,鸡皮,州桥夜市
食品饮食,夜市肉食,腰肾,州桥夜市
食品饮食,夜市肉食,鸡碎,州桥夜市
食品饮食,夜市肉食,旋煎羊,州桥夜市
食品饮食,夜市肉食,白肠,州桥夜市
食品饮食,夜市肉食,鲊脯,州桥夜市
食品饮食,夜市肉食,鱼头,州桥夜市
食品饮食,夜市肉食,姜豉类子,州桥夜市
食品饮食,夜市肉食,抹脏,州桥夜市
食品饮食,夜市肉食,红丝,州桥夜市
食品饮食,夜市肉食,辣脚子,州桥夜市
食品饮食,夜市肉食,麻腐鸡皮,州桥夜市
食品饮食,禽兽肉,鸡,州桥夜市
食品饮食,禽兽肉,鹅,州桥夜市
食品饮食,禽兽肉,鸭,州桥夜市
食品饮食,禽兽肉,兔,州桥夜市
食品饮食,调味,姜豉类子,州桥夜市
香药医用,香品,香,御街铺售
香药医用,香药,香药,相国寺殿后交易
香药医用,生药,生药,寺东门街巷铺售
文房书画,书写,笔,相国寺近佛殿交易
文房书画,书写,墨,相国寺近佛殿交易
文房书画,书画,图画,相国寺殿后交易
文房书画,书画,山水画,寺东门街巷铺售
文房书画,书画,纸画,御街铺售
书籍文献,书籍,书籍,相国寺殿后交易
器物玩好,杂玩,玩好,相国寺殿后交易
土物特产,土物,土物,相国寺殿后交易
服饰装饰,绣作,绣作,相国寺两廊交易
服饰装饰,领抹,领抹,相国寺两廊交易
服饰装饰,花饰,花朵,相国寺两廊交易
服饰装饰,头巾,襆头,相国寺两廊交易
服饰装饰,帽,帽子,相国寺两廊交易
服饰装饰,冠,特髻冠子,相国寺两廊交易
服饰装饰,线带,绛线,相国寺两廊交易
服饰装饰,腰带,腰带,寺东门街巷铺售
服饰装饰,冠饰,冠朵,寺东门街巷铺售
服饰装饰,足履,靴,寺东门街巷铺售
金银珠宝,头面,珠翠头面,相国寺两廊交易
金银珠宝,金银,金银,御街铺售
金银珠宝,珠子,珠子,御街铺售
服务技艺,占卜,货术,相国寺后廊交易
服务技艺,画像,传神,相国寺后廊交易
